record,split,start_sample,end_sample,duration_s,peak_rel,matched
1001,DEV,477,666,47.25,0.6908706469558235,1
1001,DEV,2482,2791,77.25,0.6828653405813123,1
1001,DEV,3301,3551,62.5,0.5549075069442856,1
1001,DEV,4960,5063,25.75,0.5181847523056553,0
1001,DEV,5063,5209,36.5,0.5297479726243935,1
1001,DEV,5587,5858,67.75,0.8810919746168254,1
1001,DEV,6176,6409,58.25,0.7677470018221603,1
1001,DEV,7048,7256,52.0,0.5564323272060974,1
1001,DEV,8247,8648,100.25,0.540167577746773,1
1001,DEV,8969,9127,39.5,0.6767660595340655,0
1001,DEV,9362,9965,150.75,0.6366124593063592,0
1001,DEV,10306,10770,116.0,1.0199776867968353,0
1001,DEV,11203,11381,44.5,0.6621531986917041,0
1001,DEV,12051,12228,44.25,0.8164141818449817,0
1001,DEV,12588,12820,58.0,0.5170411371092966,0
1001,DEV,13045,13257,53.0,0.7155219078551116,0
1001,DEV,13588,13835,61.75,0.8334413414352115,0
1001,DEV,13835,14301,116.5,1.4788215172469876,1
1001,DEV,14503,14703,50.0,1.4121106307927285,0
1002,TEST,1009,1135,31.5,0.5797921878709299,1
1002,TEST,1403,1654,62.75,0.9148846807034202,1
1002,TEST,1654,1751,24.25,0.572601851682767,0
1002,TEST,2647,2773,31.5,0.5220412337247311,1
1002,TEST,4798,4945,36.75,0.5460090210186082,1
1002,TEST,5237,5424,46.75,0.6787449096985081,1
1002,TEST,5507,5671,41.0,0.6343474370446119,1
1002,TEST,5753,5847,23.5,0.5520580340023009,0
1002,TEST,6474,6595,30.25,0.5044648563758879,1
1002,TEST,7269,7374,26.25,0.5390469494713391,1
1002,TEST,8720,8801,20.25,0.5827596282025529,0
1002,TEST,8885,9073,47.0,0.6292114826244954,1
1002,TEST,9441,9599,39.5,1.1337904713208307,1
1002,TEST,9778,9884,26.5,1.2843310019904677,1
1002,TEST,10110,10233,30.75,0.5302587607969175,1
1002,TEST,10577,10702,31.25,0.8305408958930626,1
1002,TEST,10944,11100,39.0,1.0517293329194133,1
1002,TEST,11374,11541,41.75,1.0158917842990447,1
1002,TEST,11696,11883,46.75,1.1061704497726483,1
1002,TEST,12093,12261,42.0,1.0734144738043496,1
1002,TEST,12879,13082,50.75,0.9208195613666659,1
1002,TEST,13244,13465,55.25,1.169742152261646,1
1002,TEST,13465,13796,82.75,1.1674595058527055,1
1002,TEST,13927,14136,52.25,1.0564839045855607,1
1002,TEST,14335,14703,92.0,1.4073266576397416,1
1002,TEST,14703,14835,33.0,1.1725564744801937,0
1003,DEV,5778,6015,59.25,1.0511759581881535,1
1003,DEV,6315,6477,40.5,1.005226480836237,1
1003,DEV,6780,7010,57.5,1.2361822777891645,1
1003,DEV,7329,7645,79.0,0.6260385955507908,1
1003,DEV,8273,8564,72.75,0.9954268292682927,1
1003,DEV,8564,8766,50.5,0.6287020905923344,0
1003,DEV,8939,9193,63.5,0.8144599303135888,1
1003,DEV,9530,9729,49.75,0.8808797909407666,1
1003,DEV,9979,10241,65.5,0.6450348432055748,1
1003,DEV,10887,11103,54.0,0.8177264808362369,1
1003,DEV,11103,11683,145.0,0.7338850174216027,1
1003,DEV,11893,12074,45.25,0.514808362369338,1
1003,DEV,12627,12987,90.0,0.61955574912892,1
1003,DEV,12987,13413,106.5,1.1615853658536586,1
1003,DEV,13716,13932,54.0,0.8898083623693379,1
1003,DEV,14421,14820,99.75,0.8887195121951224,1
1004,TEST,241,395,38.5,0.6079273729431791,1
1004,TEST,885,1040,38.75,0.5734781551430657,1
1004,TEST,1303,1449,36.5,1.0395558077328364,0
1004,TEST,1449,1857,102.0,0.9951771095079845,1
1004,TEST,1857,2032,43.75,0.7795655345708037,0
1004,TEST,3667,3784,29.25,0.9119333500146249,1
1004,TEST,3926,4164,59.5,1.1646429439896253,1
1004,TEST,4306,4459,38.25,1.1490285496791204,1
1004,TEST,4658,4854,49.0,1.1751236118991653,1
1004,TEST,5400,5540,35.0,0.6569668476939289,1
1004,TEST,6131,6290,39.75,0.7984112831320418,1
1004,TEST,6933,7097,41.0,1.0006484558644728,1
1004,TEST,13709,14086,94.25,0.5933371159925428,1
1004,TEST,14766,15174,102.0,0.8957492266316953,1
1004,TEST,15174,15330,39.0,0.821784729590275,0
1004,TEST,15330,15726,99.0,0.5649671719218612,1
1005,DEV,2387,2580,48.25,1.343940792648387,0
1005,DEV,2670,2807,34.25,0.608438411346328,1
1005,DEV,3253,3383,32.5,0.613027925225018,1
1005,DEV,4684,4843,39.75,0.7252743218009786,1
1005,DEV,5039,5135,24.0,0.6446300065039975,1
1005,DEV,5459,5879,105.0,1.708348194616371,1
1005,DEV,6249,6510,65.25,1.0302803012819182,1
1005,DEV,8047,8249,50.5,0.5667393995342307,1
1005,DEV,14466,15404,234.5,0.6471214568952864,0
1007,TEST,13456,13627,42.75,0.9411175144074166,1
1007,TEST,13934,14160,56.5,1.3868704585316964,1
1007,TEST,14294,14500,51.5,1.1663743422701078,1
1008,DEV,1957,2098,35.25,0.6251327433628319,0
1008,DEV,3419,3583,41.0,1.23858407079646,0
1008,DEV,3974,4218,61.0,0.6120353982300883,0
1008,DEV,5308,5720,103.0,0.7479646017699115,0
1008,DEV,6380,6530,37.5,0.687433628318584,0
1008,DEV,8671,8890,54.75,0.6470796460176991,0
1008,DEV,9420,9890,117.5,0.7568141592920355,0
1008,DEV,10468,10769,75.25,0.7330973451327433,1
1008,DEV,10769,11245,119.0,0.9072566371681415,1
1008,DEV,11444,11773,82.25,1.0453097345132742,1
1008,DEV,12120,12337,54.25,0.8191150442477877,1
1008,DEV,12590,12898,77.0,1.1794690265486725,1
1008,DEV,13067,13356,72.25,0.7387610619469026,0
1008,DEV,13356,13794,109.5,1.0208849557522122,0
1008,DEV,13794,14159,91.25,0.9702654867256637,0
1008,DEV,14520,14682,40.5,1.1228318584070796,1
1008,DEV,15021,15230,52.25,0.5950442477876106,0
1008,DEV,15847,16126,69.75,0.8113274336283186,0
1008,DEV,16126,16751,156.25,1.1412389380530974,0
1011,TEST,1491,1946,113.75,0.8014799051301214,0
1011,TEST,1946,2076,32.5,0.7060414568374543,0
1011,TEST,3290,3678,97.0,0.7332483662225521,0
1011,TEST,3767,3985,54.5,0.5137431365541418,0
1011,TEST,11239,11508,67.25,0.7882809707917738,1
1011,TEST,13584,14022,109.5,1.5676272783391276,1
1011,TEST,14437,14779,85.5,1.2634426069722866,1
1011,TEST,14779,15192,103.25,1.1050553949121158,0
1011,TEST,15192,15478,71.5,0.9592579356054455,0
1012,DEV,137,423,71.5,0.7601133535967289,1
1012,DEV,3611,3869,64.5,0.616881725236038,1
1012,DEV,9287,9598,77.75,1.0327966011289154,1
1012,DEV,9905,10081,44.0,0.7468362644509347,1
1012,DEV,10081,10234,38.25,0.5392308705348767,1
1012,DEV,10778,11063,71.25,1.1893053186354008,1
1012,DEV,11722,11948,56.5,0.870152259092934,1
1012,DEV,11948,12209,65.25,0.8939906691501557,1
1012,DEV,12742,12928,46.5,0.7812359954195838,1
1012,DEV,13437,13730,73.25,0.8641172185721184,1
1012,DEV,14062,14242,45.0,0.929597408222968,1
1012,DEV,14666,14945,69.75,1.2185931910242895,1
1012,DEV,14945,15278,83.25,0.767279715244878,0
1014,TEST,74,518,111.0,0.8215938303341899,1
1014,TEST,985,1352,91.75,0.7789203084832903,1
1014,TEST,1473,1844,92.75,0.7783033419023133,1
