record,n_samples,duration_min,n_contractions,n_truncated,dataloss_0,dataloss_1,dataloss_2,excluded,exclusion_reason
1001,14400,60.0,23,1,0.7916666666666666,15.291666666666666,24.083333333333332,False,
1002,19200,80.0,33,0,2.253086419753086,15.95679012345679,33.34935897435897,False,
1003,18000,75.0,15,0,44.03333333333333,0.0,17.4,False,
1004,16800,70.0,21,0,1.0507246376811594,0.0,2.8993055555555554,False,
1005,18000,75.0,11,0,42.916666666666664,4.883333333333334,18.25,False,
1006,16800,70.0,0,0,1.6485507246376812,61.01449275362319,10.9375,True,no_annotation
1007,15600,65.0,11,0,0.20833333333333334,21.893939393939394,44.1468253968254,False,
1008,16800,70.0,6,0,6.322463768115942,8.858695652173912,11.510416666666666,False,
1009,20400,85.0,0,0,12.857142857142858,21.979166666666668,66.46551724137932,True,no_annotation
1010,16800,70.0,0,0,0.0,0.14492753623188406,32.72569444444444,True,no_annotation
1011,15600,65.0,3,0,13.087121212121213,0.20833333333333334,3.3531746031746033,False,
1012,16800,70.0,14,0,26.829710144927535,60.85144927536232,14.20138888888889,False,
1013,18000,75.0,0,0,31.25,7.95,31.583333333333332,True,no_annotation
1014,19200,80.0,29,0,9.058641975308642,9.367283950617283,28.830128205128204,False,
1015,19200,80.0,14,0,51.111111111111114,2.2839506172839505,27.724358974358974,False,
1016,16800,70.0,5,0,38.96739130434783,28.02536231884058,1.0590277777777777,False,
1017,21600,90.0,25,0,1.5416666666666667,4.277777777777778,45.30555555555556,False,
1018,15600,65.0,23,0,25.34090909090909,19.602272727272727,29.404761904761905,False,
1019,16800,70.0,11,0,1.2681159420289856,0.4166666666666667,7.864583333333333,False,
1020,16800,70.0,16,0,0.36231884057971014,0.4891304347826087,2.517361111111111,False,
1021,16800,70.0,0,0,17.554347826086957,5.778985507246377,19.54861111111111,True,no_annotation
1022,15620,65.08333333333333,25,0,5.890151515151516,0.11363636363636363,4.624505928853755,False,
1023,18000,75.0,14,0,21.45,0.35,10.8,False,
1024,15600,65.0,16,0,0.35984848484848486,15.776515151515152,0.1984126984126984,False,
1025,19200,80.0,37,0,23.549382716049383,0.1388888888888889,4.903846153846154,False,
1026,18000,75.0,8,0,54.85,4.533333333333333,30.983333333333334,False,
1027,18000,75.0,3,0,23.65,19.4,13.033333333333333,False,
1028,21600,90.0,6,1,41.56944444444444,0.5138888888888888,1.3472222222222223,False,
1029,16800,70.0,1,0,2.4818840579710146,10.16304347826087,43.177083333333336,False,
1030,16800,70.0,20,0,1.1956521739130435,0.3442028985507246,20.97222222222222,False,
1031,15600,65.0,9,0,1.0795454545454546,0.0,1.9642857142857142,False,
1032,21600,90.0,15,0,9.041666666666666,7.194444444444445,22.569444444444443,False,
1033,15600,65.0,7,0,10.397727272727273,0.7954545454545454,5.138888888888889,False,
1034,19200,80.0,10,0,33.48765432098765,4.691358024691358,17.628205128205128,False,
1035,16800,70.0,20,0,0.0,1.0144927536231885,6.076388888888889,False,
1036,16800,70.0,10,0,0.0,19.818840579710145,10.9375,False,
1037,18000,75.0,26,0,11.416666666666666,3.566666666666667,20.033333333333335,False,
1038,16800,70.0,13,0,22.355072463768117,22.934782608695652,14.54861111111111,False,
1039,16800,70.0,16,0,22.5,4.47463768115942,51.16319444444444,False,
1040,18000,75.0,2,0,30.533333333333335,0.35,11.083333333333334,False,
1041,16800,70.0,15,0,0.32608695652173914,0.7246376811594203,25.711805555555557,False,
1042,18000,75.0,0,0,0.0,0.9,31.35,True,no_annotation
1043,16800,70.0,15,0,50.14492753623188,18.42391304347826,30.833333333333332,False,
1044,20400,85.0,0,0,2.306547619047619,34.851190476190474,60.27298850574713,True,no_annotation
1045,15600,65.0,0,0,0.0,0.0,26.50793650793651,True,no_annotation
1046,19200,80.0,28,0,0.5401234567901234,0.1388888888888889,2.644230769230769,False,
1047,19200,80.0,10,0,5.29320987654321,58.91975308641975,12.131410256410257,False,
1048,18000,75.0,20,0,4.116666666666666,11.716666666666667,14.45,False,
1049,15600,65.0,19,0,3.768939393939394,15.037878787878787,48.492063492063494,False,
1050,20400,85.0,2,0,45.92261904761905,0.34226190476190477,10.445402298850574,False,
1051,19200,80.0,21,0,10.308641975308642,25.27777777777778,49.455128205128204,False,
1052,16800,70.0,1,0,47.82608695652174,16.231884057971016,27.01388888888889,False,
1053,16800,70.0,18,0,0.3079710144927536,18.242753623188406,26.788194444444443,False,
1054,21600,90.0,23,0,10.416666666666666,12.36111111111111,56.708333333333336,False,
1055,16800,70.0,32,0,1.8115942028985508,0.0,3.59375,False,
1056,16800,70.0,11,0,9.891304347826088,11.829710144927537,41.47569444444444,False,
1057,18600,77.5,1,0,4.935897435897436,18.669871794871796,70.359477124183,False,
1058,21600,90.0,8,0,14.98611111111111,47.59722222222222,92.36111111111111,False,
1059,20400,85.0,9,0,12.038690476190476,19.732142857142858,42.083333333333336,False,
1060,15600,65.0,8,0,57.40530303030303,10.965909090909092,26.13095238095238,False,
1061,18000,75.0,0,0,0.6166666666666667,3.6166666666666667,45.46666666666667,True,no_annotation
1062,16800,70.0,32,0,1.7028985507246377,12.69927536231884,44.704861111111114,False,
1063,19200,80.0,21,0,16.805555555555557,15.37037037037037,41.6025641025641,False,
1064,15600,65.0,9,0,58.541666666666664,25.056818181818183,16.25,False,
1065,19200,80.0,19,0,7.283950617283951,31.728395061728396,32.48397435897436,False,
1066,16800,70.0,16,0,1.25,13.822463768115941,24.010416666666668,False,
1067,21600,90.0,7,0,10.208333333333334,48.388888888888886,19.291666666666668,False,
1068,16623,69.2625,19,0,9.83695652173913,8.315217391304348,47.32222819272793,False,
1069,15600,65.0,0,0,1.5151515151515151,0.11363636363636363,5.734126984126984,True,no_annotation
1070,18000,75.0,7,0,30.9,0.26666666666666666,12.383333333333333,False,
1071,21600,90.0,14,0,70.58333333333333,6.916666666666667,35.84722222222222,False,
1072,18000,75.0,12,0,5.016666666666667,41.96666666666667,56.31666666666667,False,
1073,21600,90.0,4,0,28.86111111111111,45.583333333333336,58.27777777777778,False,
1074,16800,70.0,13,0,1.0144927536231885,7.898550724637682,2.1180555555555554,False,
1075,20400,85.0,19,0,29.49404761904762,29.598214285714285,19.64080459770115,False,
1076,15600,65.0,0,0,56.13636363636363,9.905303030303031,33.432539682539684,True,no_annotation
1077,16952,70.63333333333334,13,0,5.3125,1.6319444444444444,55.98306332842415,False,
1078,19200,80.0,33,0,0.37037037037037035,0.09259259259259259,16.762820512820515,False,
1079,18000,75.0,12,0,2.0833333333333335,42.916666666666664,27.233333333333334,False,
1080,16800,70.0,8,0,40.2536231884058,18.55072463768116,29.84375,False,
1081,16800,70.0,1,0,0.3442028985507246,0.0,7.8125,False,
1082,20400,85.0,8,0,44.895833333333336,38.30357142857143,21.49425287356322,False,
1083,16800,70.0,14,0,38.242753623188406,21.956521739130434,28.24652777777778,False,
1084,16800,70.0,8,0,33.91304347826087,1.0507246376811594,7.013888888888889,False,
1085,20400,85.0,15,0,0.0,0.13392857142857142,8.879310344827585,False,
